Product_Name,Price,Discount,Category
"Dairy Milk - Fruit & Nut Imported, Imported, Rich Classic Taste",220,0,dairy
Nutty Kulfi Madbury Chocolate Bar,60,0,dairy
Tricolor Unicorn Ice cream,240,0,dairy
Choco Brownie Fudge Ice Cream,395,0,dairy
Processed Cheese - Fresh Garlic,300,0,dairy
"Vegan Energy Bar - Fig Apricot & Orange, Dairy-Free, No Added Sugar, Natural",159,0,dairy
"Plant Based Drink - Original, Made With Sprouted Millets, Creamy, Dairy Free",120,0,dairy
Dairy Based Beverage Mix - Royale Chocolate Flavour,350,0,dairy
"OatWOW Vanilla Oat Milk - Dairy-Free Alternative, Vanilla Flavoured Creamy, Lactose-Free",281,0,dairy
"Classic Crunchy Peanut Butter - High Natural Protein, No Added Colour, Dairy Free",225,0,dairy
"Daily Nutrition Shake - Vegan, Rich In Calcium, Dairy Free, Vanilla Almond",300,0,dairy
Mini Bocconcini Cheese,135,0,dairy
"Plant Based Oat Drink - Dairy & Gluten Free, No Added Sugar",220,0,dairy
"Cheese - Slice, Herbs & Spices",495,0,dairy
"Plant Based Drink - Made With Sprouted Millets, Creamy, Dairy Free, Chocolate",2102,0,dairy
"Coconut Milk - Rich, Creamy, Dairy Free, For Cooking & Baking",65,0,dairy
"Coconut Cream - Thick, Creamy, Dairy Free, For Cooking & Baking",447,0,dairy
Smoked Processed Cheese - Black Pepper,300,0,dairy
100% Tender Coconut Water,109,39,beverages
Fruit Juice - Orange Drink,435,0,beverages
Tender Coconut Water - With Pulpy Malai,49,18,beverages
Diet Coke Soft Drink,228,12,beverages
Fresh 'N' Juicy Mango Drink,37,6,beverages
Instant Drink Mix - Mango,246,12,beverages
Valencia Orange Juice - 100% Cold Pressed,39,70,beverages
Soft Drink,107,11,beverages
Soft Drink,142,28,beverages
Mango Juice - 100% Cold Pressed,75,24,beverages
Apple Juice Drink,9,6,beverages
Juice - Sparkling Apple,126,14,beverages
Sparkling Water - Club Soda,56,6,beverages
Aromatic Spiced Bitters - Non-alcoholic,1250,59,beverages
Berry Delight Juice - 100% Cold Pressed,69,15,beverages
Orange Bitters - Non-alcoholic,1250,25,beverages
Fruit Juice - Mango,118,0,beverages
Swing Juicier Drink - Lush Lychee,60,0,beverages
Mango Drink,149,16,beverages
"Apple Juice - Rich In Vitamin D, No Added Preservatives",120,6,beverages
Soft Drink With Real Lemon Juice,40,25,beverages
Sugar Free Energy Drink,417,15,beverages
Fizz Jeera Masala Soda,89,19,beverages
Soft Drink - Lime & Lemoni Flavoured,74,6,beverages
Soft Drink,144,17,beverages
Soft Drink - Refreshing,97,14,beverages
Club Soda - Evervess,18,0,beverages
Plant-Based Soy Beverage - Original,272,0,beverages
Plant-Based Soy Beverage - Elaichi,160,0,beverages
